customer_id,customer_name,email,status_code
1,鈴木 美咲,misaki.suzuki@example.com,ST04
2,加藤 大輔,daisuke.kato@example.com,ST02
3,渡辺 美咲,misaki.watanabe@example.com,ST02
4,加藤 健太,kenta.kato@example.com,ST01
5,山田 蓮,ren.yamada@example.com,ST01
6,佐藤 翔,sho.sato@example.com,ST03
7,渡辺 彩花,ayaka.watanabe@example.com,ST03
8,山田 結衣,yui.yamada@example.com,ST03
9,田中 彩花,ayaka.tanaka@example.com,ST02
10,山本 拓海,takumi.yamamoto@example.com,ST01
11,加藤 大輔,daisuke.kato@example.com,ST04
12,吉田 大輔,daisuke.yoshida@example.com,ST01
13,加藤 拓海,takumi.kato@example.com,ST01
14,佐藤 太郎,taro.sato@example.com,ST04
15,伊藤 結衣,yui.ito@example.com,ST02
16,渡辺 拓海,takumi.watanabe@example.com,ST02
17,高橋 陽菜,hina.takahashi@example.com,ST01
18,高橋 蓮,ren.takahashi@example.com,ST02
19,吉田 拓海,takumi.yoshida@example.com,ST03
20,加藤 太郎,taro.kato@example.com,ST02
21,山田 陽菜,hina.yamada@example.com,ST04
22,小林 悠斗,yuto.kobayashi@example.com,ST03
23,佐藤 彩花,ayaka.sato@example.com,ST01
24,高橋 健太,kenta.takahashi@example.com,ST01
25,高橋 美咲,misaki.takahashi@example.com,ST01
26,山本 翔,sho.yamamoto@example.com,ST02
27,伊藤 悠斗,yuto.ito@example.com,ST01
28,高橋 太郎,taro.takahashi@example.com,ST03
29,加藤 美咲,misaki.kato@example.com,ST01
30,加藤 彩花,ayaka.kato@example.com,ST02
31,田中 葵,aoi.tanaka@example.com,ST01
32,鈴木 蓮,ren.suzuki@example.com,ST01
33,高橋 葵,aoi.takahashi@example.com,ST04
34,吉田 翔,sho.yoshida@example.com,ST03
35,鈴木 結衣,yui.suzuki@example.com,ST03
36,伊藤 結衣,yui.ito@example.com,ST02
37,吉田 太郎,taro.yoshida@example.com,ST01
38,吉田 彩花,ayaka.yoshida@example.com,ST03
39,吉田 太郎,taro.yoshida@example.com,ST03
40,小林 陽菜,hina.kobayashi@example.com,ST01
41,田中 太郎,taro.tanaka@example.com,ST03
42,伊藤 結衣,yui.ito@example.com,ST04
43,吉田 悠斗,yuto.yoshida@example.com,ST04
44,小林 悠斗,yuto.kobayashi@example.com,ST03
45,渡辺 大輔,daisuke.watanabe@example.com,ST03
46,渡辺 結衣,yui.watanabe@example.com,ST02
47,伊藤 大輔,daisuke.ito@example.com,ST01
48,田中 蓮,ren.tanaka@example.com,ST02
49,高橋 太郎,taro.takahashi@example.com,ST03
50,山本 悠斗,yuto.yamamoto@example.com,ST04
51,山田 美咲,misaki.yamada@example.com,ST01
52,高橋 彩花,ayaka.takahashi@example.com,ST02
53,渡辺 翔,sho.watanabe@example.com,ST01
54,佐藤 美咲,misaki.sato@example.com,ST01
55,中村 結衣,yui.nakamura@example.com,ST03
56,吉田 美咲,misaki.yoshida@example.com,ST04
57,吉田 葵,aoi.yoshida@example.com,ST01
58,高橋 翔,sho.takahashi@example.com,ST03
59,佐藤 陽菜,hina.sato@example.com,ST04
60,小林 太郎,taro.kobayashi@example.com,ST01
61,小林 悠斗,yuto.kobayashi@example.com,ST04
62,渡辺 蓮,ren.watanabe@example.com,ST03
63,加藤 悠斗,yuto.kato@example.com,ST03
64,田中 拓海,takumi.tanaka@example.com,ST03
65,渡辺 大輔,daisuke.watanabe@example.com,ST02
66,加藤 悠斗,yuto.kato@example.com,ST03
67,佐藤 悠斗,yuto.sato@example.com,ST02
68,中村 葵,aoi.nakamura@example.com,ST04
69,高橋 彩花,ayaka.takahashi@example.com,ST01
70,高橋 健太,kenta.takahashi@example.com,ST04
71,佐藤 大輔,daisuke.sato@example.com,ST01
72,山本 陽菜,hina.yamamoto@example.com,ST01
73,佐藤 悠斗,yuto.sato@example.com,ST02
74,中村 彩花,ayaka.nakamura@example.com,ST01
75,山本 健太,kenta.yamamoto@example.com,ST03
76,佐藤 彩花,ayaka.sato@example.com,ST03
77,伊藤 葵,aoi.ito@example.com,ST02
78,小林 結衣,yui.kobayashi@example.com,ST01
79,高橋 美咲,misaki.takahashi@example.com,ST02
80,山本 翔,sho.yamamoto@example.com,ST04
81,高橋 拓海,takumi.takahashi@example.com,ST01
82,中村 拓海,takumi.nakamura@example.com,ST03
83,山本 葵,aoi.yamamoto@example.com,ST04
84,加藤 陽菜,hina.kato@example.com,ST01
85,山本 蓮,ren.yamamoto@example.com,ST01
86,田中 拓海,takumi.tanaka@example.com,ST03
87,中村 彩花,ayaka.nakamura@example.com,ST02
88,伊藤 陽菜,hina.ito@example.com,ST03
89,高橋 蓮,ren.takahashi@example.com,ST02
90,小林 葵,aoi.kobayashi@example.com,ST01
91,吉田 蓮,ren.yoshida@example.com,ST01
92,加藤 陽菜,hina.kato@example.com,ST04
93,加藤 彩花,ayaka.kato@example.com,ST04
94,山本 太郎,taro.yamamoto@example.com,ST01
95,高橋 太郎,taro.takahashi@example.com,ST01
