"customer_id","customer_name","email","status_code","status_name","updated_at"
1,"鈴木 美咲","misaki.suzuki@example.com","ST04","退会","2026-06-04 15:11:14.833261"
2,"加藤 大輔","daisuke.kato@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
3,"渡辺 美咲","misaki.watanabe@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
4,"加藤 健太","kenta.kato@example.com","ST01","新規","2026-06-04 15:11:14.833261"
5,"山田 蓮","ren.yamada@example.com","ST01","新規","2026-06-04 15:11:14.833261"
6,"佐藤 翔","sho.sato@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
7,"渡辺 彩花","ayaka.watanabe@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
8,"山田 結衣","yui.yamada@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
9,"田中 彩花","ayaka.tanaka@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
10,"山本 拓海","takumi.yamamoto@example.com","ST01","新規","2026-06-04 15:11:14.833261"
11,"加藤 大輔","daisuke.kato@example.com","ST04","退会","2026-06-04 15:11:14.833261"
12,"吉田 大輔","daisuke.yoshida@example.com","ST01","新規","2026-06-04 15:11:14.833261"
13,"加藤 拓海","takumi.kato@example.com","ST01","新規","2026-06-04 15:11:14.833261"
14,"佐藤 太郎","taro.sato@example.com","ST04","退会","2026-06-04 15:11:14.833261"
15,"伊藤 結衣","yui.ito@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
16,"渡辺 拓海","takumi.watanabe@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
17,"高橋 陽菜","hina.takahashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
18,"高橋 蓮","ren.takahashi@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
19,"吉田 拓海","takumi.yoshida@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
20,"加藤 太郎","taro.kato@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
21,"山田 陽菜","hina.yamada@example.com","ST04","退会","2026-06-04 15:11:14.833261"
22,"小林 悠斗","yuto.kobayashi@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
23,"佐藤 彩花","ayaka.sato@example.com","ST01","新規","2026-06-04 15:11:14.833261"
24,"高橋 健太","kenta.takahashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
25,"高橋 美咲","misaki.takahashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
26,"山本 翔","sho.yamamoto@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
27,"伊藤 悠斗","yuto.ito@example.com","ST01","新規","2026-06-04 15:11:14.833261"
28,"高橋 太郎","taro.takahashi@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
29,"加藤 美咲","misaki.kato@example.com","ST01","新規","2026-06-04 15:11:14.833261"
30,"加藤 彩花","ayaka.kato@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
31,"田中 葵","aoi.tanaka@example.com","ST01","新規","2026-06-04 15:11:14.833261"
32,"鈴木 蓮","ren.suzuki@example.com","ST01","新規","2026-06-04 15:11:14.833261"
33,"高橋 葵","aoi.takahashi@example.com","ST04","退会","2026-06-04 15:11:14.833261"
34,"吉田 翔","sho.yoshida@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
35,"鈴木 結衣","yui.suzuki@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
36,"伊藤 結衣","yui.ito@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
37,"吉田 太郎","taro.yoshida@example.com","ST01","新規","2026-06-04 15:11:14.833261"
38,"吉田 彩花","ayaka.yoshida@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
39,"吉田 太郎","taro.yoshida@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
40,"小林 陽菜","hina.kobayashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
41,"田中 太郎","taro.tanaka@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
42,"伊藤 結衣","yui.ito@example.com","ST04","退会","2026-06-04 15:11:14.833261"
43,"吉田 悠斗","yuto.yoshida@example.com","ST04","退会","2026-06-04 15:11:14.833261"
44,"小林 悠斗","yuto.kobayashi@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
45,"渡辺 大輔","daisuke.watanabe@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
46,"渡辺 結衣","yui.watanabe@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
47,"伊藤 大輔","daisuke.ito@example.com","ST01","新規","2026-06-04 15:11:14.833261"
48,"田中 蓮","ren.tanaka@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
49,"高橋 太郎","taro.takahashi@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
50,"山本 悠斗","yuto.yamamoto@example.com","ST04","退会","2026-06-04 15:11:14.833261"
51,"山田 美咲","misaki.yamada@example.com","ST01","新規","2026-06-04 15:11:14.833261"
52,"高橋 彩花","ayaka.takahashi@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
53,"渡辺 翔","sho.watanabe@example.com","ST01","新規","2026-06-04 15:11:14.833261"
54,"佐藤 美咲","misaki.sato@example.com","ST01","新規","2026-06-04 15:11:14.833261"
55,"中村 結衣","yui.nakamura@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
56,"吉田 美咲","misaki.yoshida@example.com","ST04","退会","2026-06-04 15:11:14.833261"
57,"吉田 葵","aoi.yoshida@example.com","ST01","新規","2026-06-04 15:11:14.833261"
58,"高橋 翔","sho.takahashi@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
59,"佐藤 陽菜","hina.sato@example.com","ST04","退会","2026-06-04 15:11:14.833261"
60,"小林 太郎","taro.kobayashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
61,"小林 悠斗","yuto.kobayashi@example.com","ST04","退会","2026-06-04 15:11:14.833261"
62,"渡辺 蓮","ren.watanabe@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
63,"加藤 悠斗","yuto.kato@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
64,"田中 拓海","takumi.tanaka@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
65,"渡辺 大輔","daisuke.watanabe@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
66,"加藤 悠斗","yuto.kato@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
67,"佐藤 悠斗","yuto.sato@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
68,"中村 葵","aoi.nakamura@example.com","ST04","退会","2026-06-04 15:11:14.833261"
69,"高橋 彩花","ayaka.takahashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
70,"高橋 健太","kenta.takahashi@example.com","ST04","退会","2026-06-04 15:11:14.833261"
71,"佐藤 大輔","daisuke.sato@example.com","ST01","新規","2026-06-04 15:11:14.833261"
72,"山本 陽菜","hina.yamamoto@example.com","ST01","新規","2026-06-04 15:11:14.833261"
73,"佐藤 悠斗","yuto.sato@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
74,"中村 彩花","ayaka.nakamura@example.com","ST01","新規","2026-06-04 15:11:14.833261"
75,"山本 健太","kenta.yamamoto@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
76,"佐藤 彩花","ayaka.sato@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
77,"伊藤 葵","aoi.ito@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
78,"小林 結衣","yui.kobayashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
79,"高橋 美咲","misaki.takahashi@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
80,"山本 翔","sho.yamamoto@example.com","ST04","退会","2026-06-04 15:11:14.833261"
81,"高橋 拓海","takumi.takahashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
82,"中村 拓海","takumi.nakamura@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
83,"山本 葵","aoi.yamamoto@example.com","ST04","退会","2026-06-04 15:11:14.833261"
84,"加藤 陽菜","hina.kato@example.com","ST01","新規","2026-06-04 15:11:14.833261"
85,"山本 蓮","ren.yamamoto@example.com","ST01","新規","2026-06-04 15:11:14.833261"
86,"田中 拓海","takumi.tanaka@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
87,"中村 彩花","ayaka.nakamura@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
88,"伊藤 陽菜","hina.ito@example.com","ST03","非アクティブ","2026-06-04 15:11:14.833261"
89,"高橋 蓮","ren.takahashi@example.com","ST02","アクティブ","2026-06-04 15:11:14.833261"
90,"小林 葵","aoi.kobayashi@example.com","ST01","新規","2026-06-04 15:11:14.833261"
91,"吉田 蓮","ren.yoshida@example.com","ST01","新規","2026-06-04 15:11:14.833261"
92,"加藤 陽菜","hina.kato@example.com","ST04","退会","2026-06-04 15:11:14.833261"
93,"加藤 彩花","ayaka.kato@example.com","ST04","退会","2026-06-04 15:11:14.833261"
